fecha,encuestadora,muestra,santos,zuluaga,penalosa,lopez,ramirez,avella,blanco,nsnr,vuelta,fuente
2013-11-06,Invamer-Gallup,713,28.0,14.6,8.7,9.3,5.7,NA,31.9,1.9,1,Wikipedia EN
2013-11-25,Datexco,1200,36.1,11.9,6.2,6.3,1.5,0.9,20.3,11.0,1,Wikipedia EN
2013-11-22,CNC,970,41,13,10,5,4,NA,10,17,1,Wikipedia EN
2013-11-23,Ipsos-Napoleon Franco,1225,26,12,4,6,2,1,21,25,1,Wikipedia EN
2013-11-27,Cifras y Conceptos,2500,26,13,5,8,NA,1,35,NA,1,Wikipedia EN
2013-12-09,Invamer-Gallup,756,36.0,14.2,5.1,6.2,5.8,0.9,26.4,3.7,1,Wikipedia EN
2013-12-06,Datexco,1000,28,10,9,8,3,1,NA,NA,1,Wikipedia EN
2014-01-20,Cifras y Conceptos,2500,26,8,9,7,NA,1,30,19,1,Wikipedia EN
2014-02-07,CNC,2378,51,9,12,7,8,3,10,NA,1,Wikipedia EN
2014-01-29,Ipsos-Napoleon Franco,1008,25,8,6,6,4,1,27,23,1,Wikipedia EN
2014-01-31,Datexco,1200,24.4,7.6,7.1,6.0,7.7,0.7,30.5,14.1,1,Wikipedia EN
2014-02-09,Invamer-Gallup,678,34.7,10.8,8.6,4.5,8.5,1.6,28.1,3.2,1,Wikipedia EN
2014-02-15,Cifras y Conceptos,2500,26,7,6,5,4,1,30,20,1,Wikipedia EN
2014-02-24,Cifras y Conceptos,2500,31,8,9,7,4,1,27,12,1,Wikipedia EN
2014-02-24,Ipsos-Napoleon Franco,1201,28,8,5,4,3,2,24,NA,1,Wikipedia EN
2014-02-28,Datexco,1200,24.2,6.3,6.3,4.9,4.1,3.6,41.5,8.6,1,Wikipedia EN
2014-03-14,Datexco,1000,25.5,14.6,17.1,10.7,7.7,NA,16.9,7.5,1,Wikipedia EN
2014-03-17,CNC,1113,30,10,16,10,9,NA,8,17,1,Wikipedia EN
2014-03-17,Invamer-Gallup,1200,32.5,15.6,11.3,8.6,9.3,NA,19.6,2.7,1,Wikipedia EN
2014-03-16,Ipsos-Napoleon Franco,1233,24,9,8,9,4,NA,19,27,1,Wikipedia EN
2014-03-22,CNC,1500,27,13,18,10,7,NA,8,17,1,Wikipedia EN
2014-03-25,Cifras y Conceptos,2500,23,11,13,9,5,NA,26,13,1,Wikipedia EN
2014-04-23,Ipsos-Napoleon Franco,1208,23,15,11,6,6,NA,14,22,1,Wikipedia EN
2014-04-24,Datexco,1974,28.3,16.0,15.7,9.6,7.2,NA,17.3,5.8,1,Wikipedia EN
2014-04-27,Invamer-Gallup,1200,32.0,20.5,10.1,7.1,11.2,NA,15.9,3.2,1,Wikipedia EN
2014-04-28,Cifras y Conceptos,2500,27,19,10,10,8,NA,17,8,1,Wikipedia EN
2014-05-10,CNC,1500,22,24,13,9,9,NA,9,14,1,Wikipedia EN
2014-05-12,Cifras y Conceptos,2762,27.7,23.9,9.7,10.0,8.7,NA,11.5,8.5,1,Wikipedia EN
2014-05-13,Datexco,2392,27.7,25.6,9.7,9.7,9.4,NA,15.0,2.9,1,Wikipedia EN
2014-05-13,Invamer-Gallup,1184,29,29.3,10.6,10.9,14.4,NA,5.8,NA,1,Wikipedia EN
2014-05-15,Ipsos-Napoleon Franco,1799,28.5,29.5,9.4,10.1,9.7,NA,12.8,NA,1,Wikipedia EN
2014-05-27,CNC,1996,45,47,NA,NA,NA,NA,8,NA,2,Wikipedia EN
2014-05-27,Cifras y Conceptos,1672,38,37,NA,NA,NA,NA,15,10,2,Wikipedia EN
2014-06-03,Invamer-Gallup,1200,47.7,48.5,NA,NA,NA,NA,3.7,NA,2,Wikipedia EN
2014-06-03,Cifras y Conceptos,3215,43.4,38.5,NA,NA,NA,NA,11.7,6.3,2,Wikipedia EN
2014-06-04,Datexco,1200,41.9,37.7,NA,NA,NA,NA,13.8,5.8,2,Wikipedia EN
2014-06-04,Ipsos-Napoleon Franco,1784,41,49,NA,NA,NA,NA,10,NA,2,Wikipedia EN
