n,encuestadora,fecha,muestra,tasa_respuesta,ivan_cepeda,abelardo_de_la_espriella,paloma_valencia,sergio_fajardo,claudia_lopez,daniel_quintero,roy_barreras,juan_manuel_galan,vicky_davila,santiago_botero,miguel_uribe_londono,david_luna,juan_carlos_pinzon,juan_daniel_oviedo,carlos_caicedo,luis_gilberto_murillo,enrique_penalosa,clara_lopez,otros,blanco,ns_nr,margen_error,fuente,link,muestreo,hipotesis,tipo,muestra_int_voto,municipios
1,Cifras y Conceptos,2025-11-04,3361,,9,17,3,24,8,,,16,10,,12,8,6,6,,,,,,,31,1.6,Polimetrica,https://www.elespectador.com/politica/elecciones-colombia-2026/petro-miguel-uribe-sergio-fajardo-los-candidatos-que-lideran-las-encuestas-para-las-elecciones-de-2026-asi-fue-la-encueta-de-cifras-y-conceptos-noticias-hoy/,probabilistico estratificado 54 municipios,grupos por lotes (intencion de voto por bloque ideologico),cara_a_cara,,54
2,CNC,2025-11-14,2140,0.784,20.9,14.4,,7.8,5.0,1.8,0.3,3.3,3.2,,4.1,0.3,0.6,1.7,,,1.4,,1.3,3.7,26.0,3.0,Cambio,https://elpais.com/america-colombia/2025-11-18/ivan-cepeda-se-dispara-en-la-encuesta-presidencial-del-centro-nacional-de-consultoria-en-colombia.html,probabilistico estratificado multietapico,escenario abierto pre-candidatos,cara_a_cara,2140,57
3,Invamer,2025-11-27,3800,0.617,31.9,18.2,1.1,8.5,4.1,,,1.6,3.7,1.8,4.2,,2.9,,,,1.1,,4.5,4.5,15.0,1.81,Colombia Opina #19 (Caracol-Blu Radio),https://www.bluradio.com/politica/asi-esta-la-intencion-de-voto-para-la-presidencia-de-la-republica-segun-encuesta-invamer-so35,probabilistico por etapas,escenario abierto 30 candidatos pre-consultas,cara_a_cara,2080,148
4,W.A.A,2025-12-15,11509,,30.7,16.2,,6.7,,,6.1,,,,,,,,,,,,5.5,11.8,23.0,2.6,W.A.A. (Acero Arango - autofinanciada),https://laveintitres.com/cepeda-lidera-encuesta-presidencial-2026-con-307-pero-cuestionada-por-metodologa-y-timing/,12 ciudades principales,cuestionada por metodologia y timing,cara_a_cara,,12
5,Datexco,2026-01-12,1202,,30,22,3,,,,,2,,,,,,,,,,,8,6,36,3.7,Caracol Radio,https://caracol.com.co/2026/01/19/ivan-cepeda-y-abelardo-de-la-espriella-encabezan-intencion-de-voto-a-la-presidencia-segun-encuesta/,seleccion aleatoria de hogares 12 ciudades,no probabilistico Pulso Pais,cara_a_cara,,12
6,AtlasIntel,2026-01-08,4520,,26.5,28.0,5.1,9.4,2.6,0.4,0.2,1.1,0.9,,,0.9,5.1,1.8,,,2.3,,5.7,7.2,5.7,1.0,Semana,https://www.infobae.com/colombia/2026/01/10/abelardo-de-la-espriella-e-ivan-cepeda-son-los-candidatos-con-mayor-probabilidad-de-llegar-a-la-presidencia-de-colombia-segun-atlasintel/,reclutamiento digital aleatorio (RDR),pre-consultas - voto valido,online,4520,
7,GAD3,2026-01-15,1207,,30.0,22.0,3.0,1.0,0.3,,0.1,2.0,8.0,1.0,,,6.0,4.0,,,2.0,,1.6,6.0,14.0,2.83,RCN Television,https://caracol.com.co/2026/01/19/ivan-cepeda-y-abelardo-de-la-espriella-encabezan-intencion-de-voto-a-la-presidencia-segun-encuesta/,telefonia movil base congelada,pre-consultas,telefono,1207,
8,Guarumo/EcoAnalitica,2026-01-22,4245,,33.6,18.2,6.9,3.9,2.4,,0.7,3.3,4.1,1.0,,0.7,1.9,1.1,0.4,0.4,2.4,0.8,2.0,4.0,13.0,1.8,El Tiempo (Percepcion Pais),https://www.elcolombiano.com/colombia/politica/encuesta-guarumo-voto-elecciones-presidenciales-2026-el-tiempo-ivan-cepeda-abelardo-de-la-espriella-FK32833987,probabilistico presencial 83 municipios,escenario abierto pre-consultas,cara_a_cara,4245,83
9,CNC,2026-01-21,2202,,28.2,15.5,2.3,9.8,3.7,1.0,,2.0,2.4,,,,1.0,1.7,,,1.3,,2.0,2.3,23.6,2.9,Cambio,https://www.valoraanalitik.com/encuesta-presidencial-del-cnc-colombia/,probabilistico estratificado,escenario abierto pre-consultas,cara_a_cara,2202,56
10,AtlasIntel,2026-02-04,7298,,31.4,32.1,3.8,7.6,3.7,1.6,0.3,1.2,1.9,1.0,2.1,0.9,1.7,1.7,,,1.2,,1.6,5.3,7.7,1.0,Semana,https://www.semana.com/politica/articulo/la-batalla-por-la-presidencia-seria-entre-abelardo-de-la-espriella-e-ivan-cepeda-segun-la-encuesta-de-atlasintel-para-semana-los-demas-candidatos-estan-lejos-de-los-punteros/202602/,reclutamiento digital aleatorio (RDR),pre-consultas - escenario abierto,online,7298,
11,YanHaas,2026-02-09,2140,,,,,,,,,,,,,,,,,,,,,,,2.4,Semana / A Conectar Ingenieria,https://www.semana.com/politica/articulo/se-disparo-vicky-davila-por-primera-vez-aparece-ganando-la-gran-consulta-por-colombia-segun-encuesta-de-yanhaas/202626/,probabilistico ISO 20252,solo consultas - no midio primera vuelta,cara_a_cara,2140,57
12,GAD3,2026-02-23,2473,,34.0,26.0,4.0,2.0,1.0,0.1,0.1,2.0,2.0,,,,,,,,,,3.5,4.0,13.0,2.3,RCN Television,https://www.gad3.com/barometro-rcn-estimacion-de-voto-en-colombia/,telefonia movil base congelada,escenario abierto pre-consultas,telefono,1772,32
13,Invamer,2026-02-22,3800,,37.1,18.9,10.0,6.6,11.7,,1.8,,,2.2,1.8,,,,0.7,0.9,,2.8,3.2,2.4,13.0,1.93,Colombia Opina #20 (Caracol-Blu Radio),https://www.noticiascaracol.com/politica/elecciones-colombia/resultados-encuesta-invamer-de-intencion-de-voto-en-primera-vuelta-presidencial-quienes-lideran-rg10,probabilistico por etapas 147 municipios,17 candidatos asumiendo ganadores consultas,cara_a_cara,2375,147
14,Guarumo/EcoAnalitica,2026-02-25,3867,,31.7,22.6,10.0,3.6,5.0,0.8,1.1,2.5,2.7,1.1,0.3,0.4,1.5,1.0,0.6,0.2,2.2,0.3,2.2,8.6,8.0,2.0,El Tiempo,https://www.elheraldo.co/politica/2026/02/28/cepeda-abelardo-y-paloma-lideran-nueva-encuesta-presidencial-de-guarumo-ecoanalitica/,probabilistico presencial 77 municipios,escenario abierto 29 candidatos,cara_a_cara,3867,77
15,AtlasIntel,2026-02-25,6468,,34.0,31.9,4.3,6.3,1.7,0.8,,1.0,2.8,0.4,0.7,0.5,2.6,3.5,,,1.0,,1.8,4.8,13.7,1.0,Semana,https://www.agenciapi.co/noticia/elecciones-2026/encuesta-atlasintel-cepeda-y-de-la-espriella-lideran-pero-los-indecisos-se-convierten-en-la-tercera-fuerza-electoral,reclutamiento digital aleatorio (RDR),pre-consultas - escenario abierto,online,6468,
16,CNC,2026-02-28,3684,,35.4,16.7,4.1,4.8,5.2,1.5,0.9,2.5,2.0,1.7,1.0,0.5,1.0,1.8,1.2,0.2,1.2,,1.9,1.2,15.1,3.0,Cambio,https://www.infobae.com/colombia/2026/03/01/ivan-cepeda-lidera-intencion-de-voto-lo-siguen-de-la-espriella-y-claudia-lopez-segun-encuesta-del-centro-nacional-de-consultoria/,probabilistico mixto (2187 presencial + 1497 telefonico),escenario abierto pre-consultas,mixto,3684,62
17,AtlasIntel,2026-03-12,4291,,36.4,27.9,17.5,7.8,1.7,,0.9,,,0.6,0.0,,,,,0.7,,1.1,1.4,4.3,4.0,2.0,Semana,https://www.infobae.com/colombia/2026/03/13/encuesta-atlas-intel-ivan-cepeda-abelardo-de-la-espriella-y-paloma-valencia-comandan-la-intencion-de-voto-primera-medicion-tras-el-8-de-marzo/,reclutamiento digital aleatorio (RDR),post-consultas - escenario completo,online,4291,
18,GAD3,2026-03-18,1200,,35.0,21.0,16.0,3.0,4.0,,0.1,,,1.0,1.0,0.1,,,0.3,1.0,,0.2,1.5,6.0,7.0,2.83,RCN Television,https://www.noticiasrcn.com/colombia/la-gran-encuesta-intencion-de-voto-para-la-primera-vuelta-presidencial-1003965,telefonia movil base congelada,post-consultas - vicepresidenciales definidas,telefono,1200,
19,CNC,2026-03-21,2157,,34.5,15.4,22.2,3.6,3.7,,,,,1.3,1.0,,,,,,,,3.0,2.0,13.3,3.0,Cambio,https://www.agenciapi.co/noticia/elecciones-2026/cepeda-valencia-y-de-la-espriella-lideran-intencion-de-voto-dos-meses-de-las-presidenciales,probabilistico estratificado 56 municipios,post-consultas con Paloma ganadora Gran Consulta,cara_a_cara,2157,56
20,Guarumo/EcoAnalitica,2026-03-25,3736,,37.5,20.2,19.9,3.9,2.3,,,,,,,,,,,,,,3.2,11.0,16.7,2.2,El Tiempo,https://www.infobae.com/colombia/2026/03/28/se-reducen-las-diferencias-entre-ivan-cepeda-abelardo-de-la-espriella-y-paloma-valencia-en-la-intencion-de-voto-para-la-primera-vuelta-esto-dice-la-nueva-encuesta-de-guarumo-y-ecoanalitica/,probabilistico presencial 69 municipios,post-consultas - tarjeton real,cara_a_cara,3736,69
21,AtlasIntel,2026-04-09,3617,,38.7,27.8,23.4,5.1,,,,,,,,,,,,,,,1.5,3.5,,2.0,Semana,https://colombiaone.com/2026/04/09/runoff-could-redefine-colombias-election-atlasintel-shows-de-la-espriella-and-valencia-leading-cepeda/,reclutamiento digital aleatorio (RDR),escenario consolidado top 3,online,3617,
22,Invamer,2026-04-24,3800,,44.3,21.5,19.8,2.5,3.6,,0.1,,,1.4,0.4,,,,0.4,0.4,,,1.0,4.8,,1.89,Colombia Opina #21 (Caracol-Blu Radio),https://www.noticiascaracol.com/politica/elecciones-colombia/resultados-encuesta-invamer-intencion-de-voto-primera-vuelta-presidencial-rg10,probabilistico por etapas 149 municipios,13 candidatos inscritos primera vuelta,cara_a_cara,2741,149
23,GAD3,2026-04-22,1500,,36.0,21.0,13.0,2.0,3.0,,0.0,,,0.8,0.6,,,,0.2,0.4,,0.3,1.7,5.0,17.0,2.61,RCN Television,https://www.gad3.com/barometro-rcn-estimacion-de-voto-en-colombia-abril/,telefonia movil base congelada,escenario completo abril,telefono,1411,32
24,Guarumo/EcoAnalitica,2026-04-29,4680,,38.0,23.9,22.8,2.5,2.4,,0.0,,,,,,,,,,,,1.7,7.2,,1.8,El Tiempo,https://laschivasdelllano.com/encuesta-de-guarumo-abril-2026-cepeda-38-de-la-espriella-239-y-paloma-228-en-segunda-vuelta-valencia-derrota-a-cepeda-y-abelardo-lo-empata/,probabilistico presencial 74 municipios,escenario top con tarjeton real,cara_a_cara,4680,74
25,AtlasIntel,2026-04-29,4037,,38.0,29.9,21.2,4.2,,,,,,,,,,,,,,,1.2,4.8,,2.0,Semana,https://www.infobae.com/colombia/2026/05/11/estudio-de-atlas-intel-que-dio-como-ganador-a-abelardo-de-la-espriella-en-segunda-vuelta-no-es-una-encuesta-auditoria-habria-detectado-irregularidades-en-el-sondeo/,reclutamiento digital aleatorio (RDR) - bajo auditoria CNE,top 4 - votos validos,online,4037,
26,CNC,2026-04-30,2157,0.71,37.2,20.4,15.6,2.7,1.5,,0.1,,,1.5,0.2,,,,0.4,0.3,,,1.3,8.3,8.3,3.0,Cambio,https://www.elespectador.com/politica/elecciones-colombia-2026/encuesta-cnc-ivan-cepeda-372-abelardo-de-la-espriella-204-y-paloma-valencia-156-lideran-medicion-noticias-hoy/,probabilistico estratificado 56 municipios,escenario abril completo,cara_a_cara,2157,56
