partido,senado_2026_votos,cepeda,espriella,valencia,fajardo,lopez,otros
"PACTO HISTORICO",4424931,100,0,0,0,0,0
"CENTRO DEMOCRATICO",3022025,0,35,65,0,0,0
"PARTIDO LIBERAL",2270566,40,21,35,2,2,0
"ALIANZA POR COLOMBIA (VERDE)",1892171,69,3,17,5,6,0
"PARTIDO CONSERVADOR",1848470,22,35,43,0,0,0
"PARTIDO DE LA U",1551122,34,29,33,2,2,0
"CAMBIO RADICAL - ALMA",1237422,0,60,40,0,0,0
"AHORA COLOMBIA",869506,22,30,38,10,0,0
"SALVACION NACIONAL",679616,0,100,0,0,0,0
"FRENTE AMPLIO UNITARIO",387993,100,0,0,0,0,0
"CREEMOS",224994,0,100,0,0,0,0
"FUERZA CIUDADANA",110598,100,0,0,0,0,0
"LA LISTA DE OVIEDO",104274,0,0,100,0,0,0
"MAIS",87419,100,0,0,0,0,0
"AICO",73116,100,0,0,0,0,0
"UNIDAD EN MINGA",55334,100,0,0,0,0,0
"MOVIMIENTO SI",2817,100,0,0,0,0,0
